Codigo,Espacialidades,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educacao_2010
2100832,Apicum-Açu,"0,568","0,529","0,718","0,483"
4201257,Apiúna,"0,708","0,735","0,827","0,584"
2401008,Apodi,"0,639","0,611","0,747","0,571"
2901908,Aporá,"0,548","0,516","0,751","0,425"
5201504,Aporé,"0,693","0,692","0,823","0,584"
2901957,Apuarema,"0,552","0,555","0,735","0,413"
4101408,Apucarana,"0,748","0,741","0,845","0,668"
1300144,Apuí,"0,637","0,621","0,772","0,54"
2300903,Apuiarés,"0,618","0,536","0,741","0,593"
2800209,Aquidabã,"0,578","0,573","0,747","0,452"
5001102,Aquidauana,"0,688","0,69","0,84","0,562"
2301000,Aquiraz,"0,641","0,608","0,788","0,55"
4201273,Arabutã,"0,733","0,744","0,863","0,614"
2500809,Araçagi,"0,549","0,54","0,745","0,412"
3103207,Araçaí,"0,695","0,659","0,805","0,632"
2800308,Aracaju,"0,77","0,784","0,823","0,708"
3502754,Araçariguama,"0,704","0,717","0,814","0,597"
2902054,Araças,"0,57","0,54","0,744","0,462"
2301109,Aracati,"0,655","0,607","0,742","0,624"
2902005,Aracatu,"0,581","0,591","0,754","0,439"
3502804,Araçatuba,"0,788","0,782","0,841","0,744"
2902104,Araci,"0,534","0,534","0,747","0,381"
3103306,Aracitaba,"0,661","0,608","0,823","0,577"
2301208,Aracoiaba,"0,615","0,55","0,759","0,556"
2601052,Araçoiaba,"0,592","0,544","0,765","0,498"
3502903,Araçoiaba da Serra,"0,776","0,751","0,86","0,723"
3200607,Aracruz,"0,752","0,717","0,838","0,707"
5201603,Araçu,"0,693","0,686","0,838","0,578"
3103405,Araçuaí,"0,663","0,633","0,821","0,56"
5201702,Aragarças,"0,732","0,694","0,83","0,68"
5201801,Aragoiânia,"0,684","0,683","0,837","0,56"
1701309,Aragominas,"0,593","0,611","0,739","0,461"
1701903,Araguacema,"0,639","0,587","0,805","0,553"
1702000,Araguaçu,"0,675","0,642","0,796","0,602"
5101001,Araguaiana,"0,687","0,671","0,817","0,591"
1702109,Araguaína,"0,752","0,727","0,821","0,712"
5101209,Araguainha,"0,701","0,65","0,844","0,627"
1702158,Araguanã,"0,604","0,617","0,756","0,473"
2100873,Araguanã,"0,533","0,483","0,706","0,444"
5202155,Araguapaz,"0,674","0,696","0,814","0,54"
3103504,Araguari,"0,773","0,74","0,871","0,716"
1702208,Araguatins,"0,631","0,604","0,793","0,525"
2100907,Araioses,"0,521","0,497","0,709","0,402"
5001243,Aral Moreira,"0,633","0,628","0,798","0,507"
2902203,Aramari,"0,588","0,568","0,761","0,47"
4300851,Arambaré,"0,691","0,694","0,833","0,57"
2100956,Arame,"0,512","0,525","0,701","0,365"
3503000,Aramina,"0,74","0,723","0,856","0,656"
3503109,Arandu,"0,685","0,675","0,806","0,592"
3103603,Arantina,"0,697","0,633","0,834","0,641"
3503158,Arapeí,"0,68","0,634","0,812","0,612"
2700300,Arapiraca,"0,649","0,638","0,78","0,549"
1702307,Arapoema,"0,68","0,645","0,81","0,601"
3103702,Araponga,"0,536","0,597","0,76","0,339"
4101507,Arapongas,"0,748","0,751","0,834","0,669"
3103751,Araporã,"0,708","0,676","0,813","0,646"
4101606,Arapoti,"0,723","0,715","0,823","0,643"
3103801,Arapuá,"0,724","0,718","0,871","0,608"
4101655,Arapuã,"0,676","0,638","0,828","0,584"
5101258,Araputanga,"0,725","0,704","0,826","0,655"
4201307,Araquari,"0,703","0,696","0,83","0,602"
2500908,Arara,"0,548","0,569","0,712","0,407"
4201406,Araranguá,"0,76","0,745","0,853","0,691"
3503208,Araraquara,"0,815","0,788","0,877","0,782"
3503307,Araras,"0,781","0,763","0,859","0,728"
2301257,Ararendá,"0,59","0,522","0,763","0,516"
2101004,Arari,"0,626","0,587","0,764","0,546"
4300877,Araricá,"0,679","0,696","0,824","0,547"
2301307,Araripe,"0,564","0,515","0,759","0,459"
2601102,Araripina,"0,602","0,595","0,785","0,467"
3300209,Araruama,"0,718","0,714","0,839","0,617"
2501005,Araruna,"0,567","0,549","0,758","0,439"
4101705,Araruna,"0,704","0,685","0,785","0,648"
2902252,Arataca,"0,559","0,557","0,758","0,413"
4300901,Aratiba,"0,772","0,801","0,856","0,67"
2301406,Aratuba,"0,622","0,53","0,775","0,587"
2902302,Aratuípe,"0,575","0,57","0,753","0,443"
2800407,Arauá,"0,595","0,55","0,783","0,49"
4101804,Araucária,"0,74","0,743","0,852","0,639"
3103900,Araújos,"0,698","0,694","0,855","0,574"
3104007,Araxá,"0,772","0,756","0,858","0,709"
3104106,Arceburgo,"0,683","0,687","0,81","0,573"
3503356,Arco-Íris,"0,722","0,671","0,809","0,694"
3104205,Arcos,"0,749","0,717","0,874","0,671"
2601201,Arcoverde,"0,667","0,654","0,799","0,567"
3104304,Areado,"0,727","0,7","0,847","0,649"
3300225,Areal,"0,684","0,686","0,823","0,566"
3503406,Arealva,"0,744","0,718","0,84","0,683"
2501104,Areia,"0,594","0,593","0,756","0,467"
2401107,Areia Branca,"0,682","0,647","0,79","0,621"
2800506,Areia Branca,"0,579","0,579","0,773","0,434"
2501153,Areia de Baraúnas,"0,562","0,566","0,68","0,462"
2501203,Areial,"0,608","0,573","0,779","0,503"
3503505,Areias,"0,697","0,627","0,803","0,672"
3503604,Areiópolis,"0,695","0,686","0,823","0,594"
5101308,Arenápolis,"0,704","0,677","0,793","0,649"
5202353,Arenópolis,"0,687","0,674","0,826","0,582"
2401206,Arês,"0,606","0,587","0,725","0,523"
3104403,Argirita,"0,643","0,645","0,817","0,505"
3104452,Aricanduva,"0,582","0,553","0,787","0,454"
3104502,Arinos,"0,656","0,607","0,815","0,57"
5101407,Aripuanã,"0,675","0,682","0,816","0,553"
1100023,Ariquemes,"0,702","0,716","0,806","0,6"
3503703,Ariranha,"0,733","0,73","0,813","0,663"
4101853,Ariranha do Ivaí,"0,67","0,637","0,794","0,594"
3300233,Armação dos Búzios,"0,728","0,75","0,824","0,624"
4201505,Armazém,"0,77","0,743","0,882","0,698"
2301505,Arneiroz,"0,618","0,565","0,74","0,564"
2200905,Aroazes,"0,583","0,563","0,752","0,468"
2501302,Aroeiras,"0,548","0,537","0,745","0,411"
2200954,Aroeiras do Itaim,"0,519","0,502","0,738","0,378"
2201002,Arraial,"0,56","0,514","0,761","0,449"
3300258,Arraial do Cabo,"0,733","0,722","0,805","0,677"
1702406,Arraias,"0,651","0,636","0,829","0,523"
4301008,Arroio do Meio,"0,769","0,75","0,86","0,706"
4301073,Arroio do Padre,"0,669","0,756","0,86","0,461"
4301057,Arroio do Sal,"0,74","0,74","0,844","0,649"
4301107,Arroio dos Ratos,"0,698","0,7","0,833","0,583"
4301206,Arroio do Tigre,"0,707","0,708","0,848","0,589"
4301305,Arroio Grande,"0,657","0,673","0,807","0,522"
4201604,Arroio Trinta,"0,764","0,781","0,873","0,653"
3503802,Artur Nogueira,"0,749","0,745","0,827","0,681"
5202502,Aruanã,"0,675","0,708","0,826","0,526"
3503901,Arujá,"0,784","0,761","0,866","0,73"
4201653,Arvoredo,"0,715","0,713","0,842","0,61"
4301404,Arvorezinha,"0,694","0,713","0,817","0,575"
4201703,Ascurra,"0,742","0,739","0,868","0,636"
3503950,Aspásia,"0,735","0,699","0,864","0,657"
4101903,Assaí,"0,728","0,724","0,833","0,641"
2301604,Assaré,"0,6","0,573","0,783","0,482"
3504008,Assis,"0,805","0,771","0,865","0,781"
1200054,Assis Brasil,"0,588","0,578","0,77","0,456"
4102000,Assis Chateaubriand,"0,729","0,713","0,857","0,633"
2501351,Assunção,"0,609","0,601","0,738","0,51"
2201051,Assunção do Piauí,"0,499","0,462","0,706","0,382"
3104601,Astolfo Dutra,"0,694","0,686","0,858","0,567"
4102109,Astorga,"0,747","0,754","0,818","0,675"
2700409,Atalaia,"0,561","0,545","0,752","0,431"
4102208,Atalaia,"0,736","0,707","0,854","0,66"
1300201,Atalaia do Norte,"0,45","0,481","0,733","0,259"
4201802,Atalanta,"0,733","0,736","0,802","0,668"
3104700,Ataléia,"0,588","0,592","0,813","0,423"
3504107,Atibaia,"0,765","0,786","0,851","0,67"
3200706,Atilio Vivacqua,"0,708","0,663","0,841","0,637"
1702554,Augustinópolis,"0,67","0,614","0,793","0,619"
1500909,Augusto Corrêa,"0,52","0,48","0,772","0,38"
3104809,Augusto de Lima,"0,656","0,622","0,815","0,557"
4301503,Augusto Pestana,"0,743","0,779","0,847","0,621"
2401305,Augusto Severo,"0,621","0,624","0,774","0,495"
4301552,Áurea,"0,707","0,715","0,841","0,588"
2902401,Aurelino Leal,"0,568","0,555","0,759","0,434"
3504206,Auriflama,"0,773","0,746","0,84","0,738"
5202601,Aurilândia,"0,7","0,661","0,836","0,62"
2301703,Aurora,"0,605","0,557","0,764","0,521"
4201901,Aurora,"0,733","0,748","0,87","0,606"
1500958,Aurora do Pará,"0,519","0,504","0,773","0,358"
1702703,Aurora do Tocantins,"0,677","0,676","0,804","0,57"
1300300,Autazes,"0,577","0,539","0,799","0,446"
3504305,Avaí,"0,714","0,674","0,83","0,65"
3504404,Avanhandava,"0,705","0,688","0,817","0,623"
3504503,Avaré,"0,767","0,751","0,866","0,695"
1501006,Aveiro,"0,541","0,47","0,748","0,45"
2201101,Avelino Lopes,"0,554","0,532","0,722","0,442"
5202809,Avelinópolis,"0,66","0,682","0,828","0,508"
2101103,Axixá,"0,641","0,535","0,776","0,634"
1702901,Axixá do Tocantins,"0,627","0,595","0,733","0,566"
1703008,Babaçulândia,"0,642","0,589","0,792","0,568"
2101202,Bacabal,"0,651","0,619","0,753","0,591"
2101251,Bacabeira,"0,629","0,558","0,768","0,58"
2101301,Bacuri,"0,578","0,54","0,737","0,484"
2101350,Bacurituba,"0,537","0,474","0,681","0,479"
3504602,Bady Bassitt,"0,746","0,737","0,805","0,701"
3104908,Baependi,"0,681","0,664","0,833","0,57"
4301602,Bagé,"0,74","0,739","0,848","0,647"
1501105,Bagre,"0,471","0,481","0,777","0,28"
2501401,Baía da Traição,"0,581","0,541","0,731","0,495"
2401404,Baía Formosa,"0,609","0,59","0,718","0,534"
2902500,Baianópolis,"0,589","0,543","0,763","0,492"
1501204,Baião,"0,578","0,538","0,77","0,467"
2902609,Baixa Grande,"0,585","0,549","0,775","0,471"
2201150,Baixa Grande do Ribeiro,"0,564","0,537","0,751","0,446"
2301802,Baixio,"0,627","0,563","0,763","0,575"
3200805,Baixo Guandu,"0,702","0,67","0,811","0,637"
3504701,Balbinos,"0,669","0,69","0,809","0,537"
3105004,Baldim,"0,671","0,65","0,787","0,59"
5203104,Baliza,"0,655","0,614","0,819","0,558"
4201950,Balneário Arroio do Silva,"0,746","0,753","0,858","0,642"
4202057,Balneário Barra do Sul,"0,716","0,713","0,844","0,611"
4202008,Balneário Camboriú,"0,845","0,854","0,894","0,789"
4202073,Balneário Gaivota,"0,728","0,734","0,844","0,622"
4212809,Balneário Piçarras,"0,756","0,745","0,869","0,668"
